valuation,Rating year,Location,Suburb,Town/City,Total Rates
1486119001,2018,"""Forest Lakes Road, Otaki""",,,1886.5
1486119100,2018,"""341 Taylors Road, Otaki""",,,2807.27
1486119101,2018,"""130 Forest Lakes Road, Otaki""",,,3030.41
1486119102,2018,"""104 Forest Lakes Road, Otaki""",,,1881.18
1486119103,2018,"""120 Forest Lakes Road, Otaki""",,,2097.55
1486119104,2018,"""124 Forest Lakes Road, Otaki""",,,1657.64
1486119105,2018,"""128 Forest Lakes Road, Otaki""",,,1559.29
1486119106,2018,"""126 Forest Lakes Road, Otaki""",,,1992.19
1486119107,2018,"""122 Forest Lakes Road, Otaki""",,,1451.57
1486119108,2018,"""337 Taylors Road, Otaki""",,,2659.97
1486119109,2018,"""335 Taylors Road, Otaki""",,,2898.49
1486119110,2018,"""319 Taylors Road, Otaki""",,,2547.34
1486119111,2018,"""295 Taylors Road, Otaki""",,,3378.04
1486119112,2018,"""283 Taylors Road, Otaki""",,,2856.98
1486119113,2018,"""269 Taylors Road, Otaki""",,,2952.46
1486119114,2018,"""253 Taylors Road, Otaki""",,,2242.29
1486119115,2018,"""249 Taylors Road, Otaki""",,,1657.64
1486119116,2018,"""239 Taylors Road, Otaki""",,,1559.29
1486119117,2018,"""225 Taylors Road, Otaki""",,,2239.44
1486119118,2018,"""205 Taylors Road, Otaki""",,,2239.08
1486119119,2018,"""242 Taylors Road, Otaki""",,,1588.74
1486119120,2018,"""264 Taylors Road, Otaki""",,,5489.3
1486119121,2018,"""Forest Lakes Road, Otaki""",,,4188.85
1486119122,2018,"""151 Forest Lakes Road, Otaki""",,,3069.12
1486119123,2018,"""147 Forest Lakes Road, Otaki""",,,2673.59
1486119124,2018,"""339 Taylors Road, Otaki""",,,3024.11
1486119800,2018,"""101 Forest Lakes Road, Otaki""",,,1943.25
1486119900,2018,"""81 Forest Lakes Road, Otaki""",,,2130.91
1486120000,2018,"""81A Forest Lakes Road, Otaki""",,,3309.05
1486120005,2018,"""49 Taylors Road, Otaki""",,,1836.84
1486120200,2018,"""Taylors Road, Otaki""",,,280.85
1486120201,2018,"""99 Taylors Road, Otaki""",,,1990.42
1486120202,2018,"""103 Taylors Road, Otaki""",,,2439.93
1486120203,2018,"""107 Taylors Road, Otaki""",,,2329.51
1486120204,2018,"""129 Taylors Road, Otaki""",,,1981.56
1486120205,2018,"""132 Taylors Road, Otaki""",,,2292.28
1486120206,2018,"""120A Taylors Road, Otaki""",,,2057.83
1486120207,2018,"""140 Taylors Road, Otaki""",,,1939.39
1486120208,2018,"""150 Taylors Road, Otaki""",,,2325.51
1486120209,2018,"""158 Taylors Road, Otaki""",,,2023.39
1486120210,2018,"""Taylors Road, Otaki""",,,2.94
1486120211,2018,"""157 Taylors Road, Otaki""",,,2372.55
1486120212,2018,"""168 Taylors Road, Otaki""",,,1712.69
1486120213,2018,"""184A Taylors Road, Otaki""",,,2076.25
1486120214,2018,"""184B Taylors Road, Otaki""",,,2155.7
1486120216,2018,"""184D Taylors Road, Otaki""",,,2017.73
1486120217,2018,"""184 Taylors Road, Otaki""",,,1992.19
1486120219,2018,"""147 Taylors Road, Otaki""",,,2015.26
1486120220,2018,"""184C Taylors Road, Otaki""",,,1785.76
1486120300,2018,"""Taylors Road, Otaki""",,,1465.3
1486120500,2018,"""Taylors Road, Otaki""",,,104.08
1486120600,2018,"""Lawlors Road, Otaki""",,,2773.96
1486120800,2018,"""State Highway 1 South, Otaki""",,,825.04
1486120900,2018,"""State Highway 1 South, Otaki""",,,0
1486121000,2018,"""State Highway 1 South, Otaki""",,,1001.93
1486121100,2018,"""State Highway 1 South, Otaki""",,,19.14
1486121200,2018,"""165 State Highway 1 North, Otaki""",,,2078.21
1486121201,2018,"""143 State Highway 1 North, Otaki""",,,1757.73
1486121400,2018,"""141 State Highway 1 North, Otaki""",,,1622.05
1486121500,2018,"""135 State Highway 1 North, Otaki""",,,2056.16
1486121600,2018,"""10 Taylors Road, Otaki""",,,2468.98
1486121700,2018,"""24 Taylors Road, Otaki""",,,2161.56
1486122001,2018,"""55 Taylors Road, Otaki""",,,1698.86
1486122002,2018,"""69 Taylors Road, Otaki""",,,2344.11
1486122003,2018,"""73 Taylors Road, Otaki""",,,1893.22
1486122004,2018,"""97 Taylors Road, Otaki""",,,1811.62
1486122100,2018,"""98 Taylors Road, Otaki""",,,1990.05
